epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,6749.94,0.53496,0.54147,1.12231,0.96408,0.95119,0.98034,0.88316,0.49744,0.32903,1.19995,0.00307,0.00307,0.00307
142,6798.16,0.5263,0.52929,1.11681,0.96543,0.95272,0.9806,0.88512,0.49484,0.32677,1.19665,0.0030205,0.0030205,0.0030205
143,6846.14,0.5242,0.52465,1.11568,0.966,0.95224,0.98095,0.88577,0.49575,0.32774,1.19786,0.002971,0.002971,0.002971
144,6894.19,0.5223,0.5353,1.11492,0.97496,0.94184,0.98047,0.88416,0.49556,0.32836,1.1979,0.0029215,0.0029215,0.0029215
145,6942.26,0.52968,0.53,1.12025,0.97653,0.94162,0.98032,0.88242,0.49714,0.32802,1.19924,0.002872,0.002872,0.002872
146,6990.31,0.51628,0.51979,1.11055,0.9762,0.94118,0.98028,0.88132,0.49652,0.32645,1.19925,0.0028225,0.0028225,0.0028225
147,7038.1,0.51967,0.51636,1.11456,0.95995,0.95759,0.97997,0.8823,0.49686,0.32429,1.20013,0.002773,0.002773,0.002773
148,7086.15,0.51324,0.50882,1.11165,0.96172,0.95632,0.98017,0.88218,0.49702,0.32469,1.19987,0.0027235,0.0027235,0.0027235
149,7134.2,0.52526,0.51861,1.12234,0.9639,0.95541,0.98048,0.88282,0.49712,0.32753,1.20012,0.002674,0.002674,0.002674
150,7182.11,0.52182,0.51441,1.11222,0.96401,0.95611,0.98039,0.88218,0.49672,0.32749,1.20012,0.0026245,0.0026245,0.0026245
151,7230.23,0.51414,0.5068,1.11134,0.96259,0.95751,0.98048,0.88203,0.49603,0.3284,1.19927,0.002575,0.002575,0.002575
152,7278.31,0.51627,0.50252,1.11157,0.9623,0.95776,0.98018,0.88192,0.49539,0.32712,1.19846,0.0025255,0.0025255,0.0025255
153,7326.47,0.52252,0.5181,1.11725,0.96235,0.95631,0.97995,0.88139,0.49557,0.32462,1.19867,0.002476,0.002476,0.002476
154,7374.67,0.50461,0.49483,1.1062,0.96036,0.959,0.97979,0.8809,0.49587,0.32334,1.19898,0.0024265,0.0024265,0.0024265
155,7422.46,0.50542,0.49918,1.1002,0.96079,0.95744,0.98011,0.88269,0.4954,0.32374,1.19854,0.002377,0.002377,0.002377
156,7470.54,0.51319,0.49927,1.10957,0.95951,0.95931,0.97989,0.88144,0.49656,0.32403,1.20042,0.0023275,0.0023275,0.0023275
157,7518.53,0.51421,0.49793,1.11396,0.95977,0.95913,0.98008,0.88243,0.49715,0.32413,1.20124,0.002278,0.002278,0.002278
158,7566.51,0.51126,0.502,1.10959,0.96173,0.95714,0.98028,0.8825,0.49653,0.3244,1.20059,0.0022285,0.0022285,0.0022285
159,7614.38,0.50572,0.48341,1.10172,0.963,0.95682,0.98037,0.88276,0.4964,0.32518,1.20101,0.002179,0.002179,0.002179
160,7662.45,0.50467,0.47594,1.09956,0.95939,0.95859,0.98022,0.88166,0.49701,0.32413,1.20171,0.0021295,0.0021295,0.0021295
161,7710.6,0.50655,0.49263,1.10405,0.96197,0.95748,0.98058,0.88271,0.49657,0.32455,1.20124,0.00208,0.00208,0.00208
162,7758.76,0.5025,0.47918,1.1023,0.96159,0.95792,0.9806,0.88286,0.49597,0.32466,1.20057,0.0020305,0.0020305,0.0020305
163,7806.83,0.50009,0.4794,1.09952,0.96188,0.95791,0.98081,0.88231,0.49588,0.32424,1.20002,0.001981,0.001981,0.001981
164,7854.7,0.50185,0.48549,1.10499,0.96234,0.95755,0.98076,0.88228,0.4954,0.32465,1.19974,0.0019315,0.0019315,0.0019315
165,7902.38,0.49455,0.47146,1.09791,0.96916,0.95014,0.98077,0.88231,0.4952,0.32538,1.19937,0.001882,0.001882,0.001882
